,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,SINNOVPATEU_target,DOMPATINUS_target,DOMPATINEU_target,TE_target,kappa,gamma,rho,zeta
0,-50,0.0122995991530079,0.0119752239664233,0.009400440525256,3.050905167769762e-09,0.0185127279370465,0.0141152311065395,0.0107847314505356,0.0132229508326469,0.012845936136049,5.251461769945756e-13,0.0111364852225221,3.4479552530752837e-16,0.0112477617546953,
1,-40,0.0121590978598657,0.011763555488379,0.0103094210523889,2.481247815709318e-17,0.0171042163366905,0.0134046693583552,0.010928147630971,0.0124625437895554,0.012079098065597,0.0052283880509963,0.0111366392142413,5.606358520783167e-13,0.0112450099161848,
2,-30,0.0121507225415727,0.0115555776439813,0.0106649233108044,4.999999999999983e-13,0.0156676718500841,0.0127748287668956,0.0109050376403355,0.0118952955325165,0.0116531240067397,0.0078200563530278,0.0111368086799433,1.5680375821889176e-27,0.0112407362016068,
3,-20,0.0120140379483913,0.0113817909473024,0.0108659618777319,0.0031123833148612,0.0141611855603542,0.0121996178052901,0.0109967699196337,0.011596415240407,0.0113841601740861,0.0092430852753797,0.0111360231184997,0.0099957391168979,0.0111877412336238,
4,-10,0.0116359747376433,0.011265574004707,0.0110163347201922,0.0072200604935755,0.0126547356857508,0.0116588371528534,0.0110732920293349,0.011347645488776,0.011219712626295,0.0103538459456365,0.0111366655761238,0.0107133815731999,0.0111578548750049,0.01
5,0,0.0111366342172747,0.0111367119025721,0.0111367119025721,0.0111366785549401,0.0111367119025721,0.0111366801027576,0.0111367119025721,0.0111367119025721,0.0111367119025721,0.0111367119025721,0.0111367119025721,0.0111367119025721,0.0111366445646293,
6,10,0.0104512585135813,0.011117885255625,0.01124777213674,0.0150444564856,0.0095905624621734,0.0106144987720758,0.0111868496193711,0.0109539622535089,0.0111937989642517,0.0117813979465422,0.0111361655321289,0.0114789524374974,0.0111056662011216,
7,20,0.0094384232661679,0.0111332814603843,0.0113253738819349,0.0190055044752559,0.008012072824744,0.0100705100404086,0.0112255638842662,0.0107944383215365,0.0112482712800986,0.0122426147473299,0.0111368816379301,0.0117951091444115,0.0110613409890947,
8,30,1.3530050549676736e-17,0.0111684100958253,0.0114367013969976,0.0229747183112617,0.0063938327721088,0.0094691077122178,0.0112537852128952,0.0106535832831218,0.0112365116830882,0.0126214706882238,0.0111366415292532,0.0120317157840073,0.0109989124835234,
9,40,6.441283009703014e-16,0.0112179292014322,0.0115515987961726,0.0270215909768943,0.004721537349062,0.0087320102421079,0.0112780458245757,0.010527716474728,0.0111669103622755,0.0129375406312062,0.0111366428281638,0.0122417030096218,0.0109080586618384,
10,50,4.999999999999983e-13,0.0112753991243622,0.0116716108274494,0.0311650886493803,0.0029652605808413,0.0074829905815662,0.0114307725164668,0.0104145094529002,0.011612055469534,0.0132146961555483,0.0111363821807355,0.012429703631887,0.0107760682909186,
11,-100,,,,,,,,,,,,,,0.0
12,-55,,,,,,,,,,,,,,0.005
13,35,,,,,,,,,,,,,,0.015
14,80,,,,,,,,,,,,,,0.02
15,124,,,,,,,,,,,,,,0.025
16,169,,,,,,,,,,,,,,0.03
17,214,,,,,,,,,,,,,,0.035
18,259,,,,,,,,,,,,,,0.04
19,304,,,,,,,,,,,,,,0.045
20,349,,,,,,,,,,,,,,0.05
21,394,,,,,,,,,,,,,,0.055
22,439,,,,,,,,,,,,,,0.06
23,484,,,,,,,,,,,,,,0.065
24,529,,,,,,,,,,,,,,0.07
