origin_code,destination_code,sector,tariff
1,1,0,0.0
1,1,1,0.0
1,2,0,0.0014982052791913795
1,2,1,0.02213507
1,3,0,0.006509784871243167
1,3,1,0.0187598
1,4,0,0.025990033494811514
1,4,1,0.06672401
1,5,0,0.001140383254156265
1,5,1,0.11757569999999999
1,6,0,0.0058827315804710735
1,6,1,0.113399
1,7,0,0.0
1,7,1,0.0
1,8,0,0.26029803225607034
1,8,1,0.06021812
1,9,0,0.007411220233668592
1,9,1,0.08972752
1,10,0,0.004748829448512767
1,10,1,0.000230928
1,11,0,0.0003734943657275915
1,11,1,0.04598046
1,12,0,0.0035899581127245206
1,12,1,0.043487239999999996
2,1,0,0.0004138291793191327
2,1,1,0.01808716
2,2,0,0.0
2,2,1,0.0
2,3,0,0.0004923953577417391
2,3,1,0.02075608
2,4,0,0.0036850791401451814
2,4,1,0.09507786
2,5,0,0.001363899261529447
2,5,1,0.12795120000000001
2,6,0,0.006023872196248276
2,6,1,0.1181737
2,7,0,0.00014085237961815295
2,7,1,0.03168865
2,8,0,0.002581180800137544
2,8,1,0.06400141
2,9,0,0.0066758054165423995
2,9,1,0.1030383
2,10,0,0.0007329184998381616
2,10,1,0.03353664
2,11,0,0.00019759782553493282
2,11,1,0.0471343
2,12,0,0.002945860675418464
2,12,1,0.06559281
3,1,0,9.750287386042814e-05
3,1,1,0.01774188
3,2,0,5.4343979877228584e-05
3,2,1,0.03527313
3,3,0,0.0
3,3,1,0.0
3,4,0,0.00021933507553687366
3,4,1,0.07930443999999999
3,5,0,0.00015440403413163398
3,5,1,0.1412104
3,6,0,0.00017603774788960393
3,6,1,0.11393840000000001
3,7,0,2.711219100586398e-05
3,7,1,0.03187651
3,8,0,0.0005491500036571407
3,8,1,0.053713040000000004
3,9,0,6.518093272123153e-05
3,9,1,0.08217392
3,10,0,3.8052979809539636e-05
3,10,1,0.06763774
3,11,0,7.609437356055084e-05
3,11,1,0.10876440000000001
3,12,0,0.00012146448294235866
3,12,1,0.060287969999999996
4,1,0,0.0008136871633266224
4,1,1,0.03798244
4,2,0,0.0016721865881929032
4,2,1,0.020910980000000003
4,3,0,0.003063986747898268
4,3,1,0.02599438
4,4,0,0.0
4,4,1,0.0
4,5,0,0.005793192998627021
4,5,1,0.1437767
4,6,0,0.008724483522707547
4,6,1,0.09478414
4,7,0,0.0002510777518893823
4,7,1,0.03456091
4,8,0,0.031231028333230704
4,8,1,0.049822160000000004
4,9,0,0.007167755678054444
4,9,1,0.1159387
4,10,0,0.0038284078737463863
4,10,1,0.08256157
4,11,0,0.003667132114948046
4,11,1,0.1151361
4,12,0,0.004836118154545466
4,12,1,0.057640260000000006
5,1,0,0.0018212642314067939
5,1,1,0.008314454
5,2,0,0.006432009794399093
5,2,1,0.041287330000000004
5,3,0,0.001773523749597216
5,3,1,0.03605363
5,4,0,0.009140611290598035
5,4,1,0.1399049
5,5,0,0.0
5,5,1,0.0
5,6,0,0.03606562224678296
5,6,1,0.120661
5,7,0,0.00019203651867511247
5,7,1,0.009362305
5,8,0,0.2444374004001899
5,8,1,0.03788872
5,9,0,0.007840769527209315
5,9,1,0.09165863
5,10,0,0.009860805528335266
5,10,1,0.059109629999999996
5,11,0,0.005123697510557689
5,11,1,0.06641997
5,12,0,0.01689734724591887
5,12,1,0.06139419
6,1,0,0.001805636263065959
6,1,1,0.04702952
6,2,0,0.003064007531400281
6,2,1,0.05752618
6,3,0,0.0025104810451436472
6,3,1,0.0330279
6,4,0,0.0670630203815194
6,4,1,0.06578791
6,5,0,0.037240522401847304
6,5,1,0.1236996
6,6,0,0.0
6,6,1,0.0
6,7,0,0.0005480565419919761
6,7,1,0.05889067
6,8,0,0.03891931814743496
6,8,1,0.05764495
6,9,0,0.005929708376039518
6,9,1,0.108486
6,10,0,0.011509710862709301
6,10,1,0.1352453
6,11,0,0.0026275735254107013
6,11,1,0.09910354999999998
6,12,0,0.00657755011226572
6,12,1,0.07761219999999999
7,1,0,2.5563154931339944e-06
7,1,1,0.000296684
7,2,0,0.001901551175262223
7,2,1,0.016099969999999998
7,3,0,0.0031473597375279018
7,3,1,0.02280713
7,4,0,0.022523881773758584
7,4,1,0.06516085
7,5,0,0.00372562523967721
7,5,1,0.08407202
7,6,0,0.03567482826637067
7,6,1,0.08695066000000001
7,7,0,0.0
7,7,1,0.0
7,8,0,0.006448211916049909
7,8,1,0.06658554
7,9,0,0.0047524310045099225
7,9,1,0.09413496
7,10,0,0.0006617630996405357
7,10,1,0.000218951
7,11,0,0.001584609368613262
7,11,1,0.03620888
7,12,0,0.01528434461549524
7,12,1,0.045901319999999995
8,1,0,0.0007366846441529956
8,1,1,0.01639578
8,2,0,0.0003222405334162902
8,2,1,0.026159210000000002
8,3,0,0.0007885624122510855
8,3,1,0.013846780000000001
8,4,0,0.0007670157601922087
8,4,1,0.06449625
8,5,0,0.0005695448640377193
8,5,1,0.173586
8,6,0,0.00057398310996781
8,6,1,0.10445130000000001
8,7,0,6.590878389344644e-05
8,7,1,0.02606503
8,8,0,0.0
8,8,1,0.0
8,9,0,0.00016940892995952206
8,9,1,0.08680813999999999
8,10,0,0.00014528460830603394
8,10,1,0.07611309999999999
8,11,0,5.1661713904839066e-05
8,11,1,0.1197112
8,12,0,0.0006677337801111028
8,12,1,0.06935229
9,1,0,0.00044471365025465124
9,1,1,0.0026301140000000002
9,2,0,0.001102952582266812
9,2,1,0.012373
9,3,0,0.007259508161600644
9,3,1,0.01807564
9,4,0,0.0035873464301268126
9,4,1,0.04293165
9,5,0,0.005044639101417293
9,5,1,0.0597826
9,6,0,0.0264336500336039
9,6,1,0.0965901
9,7,0,0.00011941233406005487
9,7,1,0.007648746
9,8,0,0.029227433945403915
9,8,1,0.06260761
9,9,0,0.0
9,9,1,0.0
9,10,0,0.002297672668739673
9,10,1,0.05033403
9,11,0,0.0002296397316206024
9,11,1,0.049233349999999995
9,12,0,0.005212326567389069
9,12,1,0.02726793
10,1,0,0.0001293256662065428
10,1,1,0.000489032
10,2,0,0.0015463938944695708
10,2,1,0.002158304
10,3,0,0.0029812909985360773
10,3,1,0.0072095580000000005
10,4,0,0.007055368602629738
10,4,1,0.08076578
10,5,0,0.0005678285197406709
10,5,1,0.05272631
10,6,0,0.03550040709222727
10,6,1,0.109765
10,7,0,1.6374874020495263e-06
10,7,1,4.1432e-05
10,8,0,0.007826874526660029
10,8,1,0.05804308
10,9,0,0.009224463196664347
10,9,1,0.06912419
10,10,0,0.0
10,10,1,0.0
10,11,0,0.0003287540602203288
10,11,1,0.07596256
10,12,0,0.006225366772004892
10,12,1,0.06736552
11,1,0,2.8635687793330932e-05
11,1,1,0.0026496130000000003
11,2,0,0.0031385743761211753
11,2,1,0.01408858
11,3,0,0.00019861199914320254
11,3,1,0.0037417070000000004
11,4,0,0.00899484867896098
11,4,1,0.03507225
11,5,0,0.00389127623938306
11,5,1,0.1130041
11,6,0,0.032685032364613203
11,6,1,0.1206143
11,7,0,0.0005259716422258947
11,7,1,0.01623837
11,8,0,0.007838049305862125
11,8,1,0.03502367
11,9,0,0.04661491486736083
11,9,1,0.07829568
11,10,0,0.05767771749839648
11,10,1,0.09958463999999999
11,11,0,0.0
11,11,1,0.0
11,12,0,0.017213650125697963
11,12,1,0.06969858000000001
12,1,0,0.00038690957114292186
12,1,1,0.03507987
12,2,0,0.0014555923769724072
12,2,1,0.02008191
12,3,0,0.0012060077460103664
12,3,1,0.018160469999999998
12,4,0,0.010755162594506415
12,4,1,0.04231465
12,5,0,0.0016827176838538922
12,5,1,0.05276355
12,6,0,0.03731845836725468
12,6,1,0.1535957
12,7,0,0.00017170176360336946
12,7,1,0.02662852
12,8,0,0.03349619115224883
12,8,1,0.04427587
12,9,0,0.006343429238300832
12,9,1,0.05141586
12,10,0,0.01516487913869443
12,10,1,0.06391706
12,11,0,0.0004533507896451399
12,11,1,0.0382763
12,12,0,0.0
12,12,1,0.0
